,lat_min,lon_min,lat_mid,lon_mid,lat_max,lon_max
226,441057.0,4980701.0,441208.0,4980852.0,441359.0,4981003.0
227,441057.0,4981003.0,441208.0,4981154.0,441359.0,4981305.0
228,441057.0,4981305.0,441208.0,4981456.0,441359.0,4981607.0
229,441057.0,4981607.0,441208.0,4981758.0,441359.0,4981909.0
230,441057.0,4981909.0,441208.0,4982060.0,441359.0,4982211.0
231,441057.0,4982211.0,441208.0,4982362.0,441359.0,4982513.0
232,441057.0,4982513.0,441208.0,4982664.0,441359.0,4982815.0
233,441057.0,4982815.0,441208.0,4982966.0,441359.0,4983117.0
234,441057.0,4983117.0,441208.0,4983268.0,441359.0,4983419.0
235,441057.0,4983419.0,441208.0,4983570.0,441359.0,4983721.0
236,441057.0,4983721.0,441208.0,4983872.0,441359.0,4984023.0
237,441057.0,4984023.0,441208.0,4984174.0,441359.0,4984325.0
238,441057.0,4984325.0,441208.0,4984476.0,441359.0,4984627.0
239,441057.0,4984627.0,441208.0,4984778.0,441359.0,4984929.0
240,441057.0,4984929.0,441208.0,4985080.0,441359.0,4985231.0
241,441057.0,4985231.0,441208.0,4985382.0,441359.0,4985533.0
242,441057.0,4985533.0,441208.0,4985684.0,441359.0,4985835.0
243,441057.0,4985835.0,441208.0,4985986.0,441359.0,4986137.0
244,441057.0,4986137.0,441208.0,4986288.0,441359.0,4986439.0
245,441057.0,4986439.0,441208.0,4986590.0,441359.0,4986741.0
246,441057.0,4986741.0,441208.0,4986892.0,441359.0,4987043.0
247,441057.0,4987043.0,441208.0,4987194.0,441359.0,4987345.0
248,441057.0,4987345.0,441208.0,4987496.0,441359.0,4987647.0
249,441057.0,4987647.0,441208.0,4987798.0,441359.0,4987949.0
250,441359.0,4972849.0,441510.0,4973000.0,441661.0,4973151.0
251,441359.0,4973151.0,441510.0,4973302.0,441661.0,4973453.0
252,441359.0,4973453.0,441510.0,4973604.0,441661.0,4973755.0
253,441359.0,4973755.0,441510.0,4973906.0,441661.0,4974057.0
254,441359.0,4974057.0,441510.0,4974208.0,441661.0,4974359.0
255,441359.0,4974359.0,441510.0,4974510.0,441661.0,4974661.0
256,441359.0,4974661.0,441510.0,4974812.0,441661.0,4974963.0
257,441359.0,4974963.0,441510.0,4975114.0,441661.0,4975265.0
258,441359.0,4975265.0,441510.0,4975416.0,441661.0,4975567.0
259,441359.0,4975567.0,441510.0,4975718.0,441661.0,4975869.0
260,441359.0,4975869.0,441510.0,4976020.0,441661.0,4976171.0
